Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies
Conservative Post,"This program, and the $500 monthly checks it offers, are reserved for families of color.",Struggling White Families Not Allowed To Partecipate in Oakland ‘Guaranteed Income’ Program,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZXd-STyYmkTgH6h_Xdd4BJpSUEF2pi6ZDclxGd7sSIHuiHQqC71bskMU9JXBrekD6s3Y9uIl-hKwUxNoOjEgUr1tt0eojZYrAAus0c9EDGoOl3UZOxUudMMVFFTVDCvrcqvm7maU_qusPZI--QPO32E&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fstruggling-white-families-not-allowed-to-partecipate-in-oakland-guaranteed-income-program%2F%3Ffbclid%3DIwAR31CVKQvOQW8gIRHQ45iI74Jyc1wz2Vi1EqLZxEBsAe9Am50F6VEjSRKfA&h=AT3d-d67cE-zc5nrZq2rTLPojl9EL7m1mTYqpIpo4KF-sqg_3v_lQJEjHQi86lzEkzgvD0g7SIMEyLesEF5rwsBpZss1HKJYh_TPVe74xbF-hJyx_FcBlyLxenuFrbo0wKfc&__tn__=H-R&c[0]=AT2uw20JU5UoiBGTwiv2ZNVqizsTkBebAyGpanvSnjwAVjVqlGB59f0HBYEx8cGNogt4u_XctgaOAXqi1QE5DYKaOuMPImoERd6DiqLmFfuF8dFf90k0-ECTxSdhgUzGyrseFGGmCtXZHr8td0K7xJLnBAT5lCGIhpV86oIcP-hYBq0,180,11 Comments,29 Shares,View 40 more comments
Conservative Post,Biden appeared to simply give up on what he was trying to say.,The First TV: Biden Lapses Into Nonsense During First Solo Press Conference,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZWBLyAq4Opumo3boGJAJt9kQvRKOeXyzSBF5ck5WZC20sd1T7MxRaznY8Gh17RnHl8RxfYZ5f1S_bK9EySO2R5IwSgcdgy61pG3TdJH9dgarDERU8OynZ4xjTTzX7HiP9B82VcSODY2Jm8eIsy1lBIv&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fthe-first-tv-biden-lapses-into-nonsense-during-first-solo-press-conference%2F%3Ffbclid%3DIwAR1ZJbSyRMkUbmNkoiOS4HbNtwlrhkijXbt1i9XVhqcEgkGrFDu62b5c9W4&h=AT3eb4VHNsImfVs13vEXtbO57_4IC28t7B9rmWJCeuca90koEvwJRkQGYS9fh-Luc4zrkWXBygjDHQRlB3G3P135ErUqMj8Bp6hg_4yvWeaufa6-KFZLtLv-X7MJAlU06-Kk&__tn__=H-R&c[0]=AT1CZrKC6Lv-lIOFc1jNwyLpNd_w4dYXOMK2XSPYuG9yXq0yyvoevVsmUjf3fEMIYrGfbenhpkpw1b2_ddlFau0ehtkPyxarCq01IRJijYlmol2RKC0kHFv47FD7H0j3lGNpCyiQyR1sLrSV6vdNaU4wjQmY1PiqRrl_pu2z7MPE1Kg,220,7 Comments,391 Shares,View previous comments
Conservative Post,Right observation! Biden used notes extensively to answer questions.,Fox’s Baier: I Haven’t Seen Presidents Flip Through Notes Like Biden to Find Answers,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZWAr8vHkcD_muTYMDtTA2plAiwEBoVqC8qtEZEbj6r_fDWV9JOkEPa_7NdwuddJt51AdpiIE-7oeASYsbmrsNdNxBO8v2EX8AjqNPkj6qgQ3dt238aCSwjG5SQdvr7b68U_ihlckNRViqnrH_ZJB0rU&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Ffoxs-baier-i-havent-seen-presidents-flip-through-notes-like-biden-to-find-answers%2F%3Ffbclid%3DIwAR17fs56s9GaIfeQuEJKQmuJbBgHmcjlUDR7PumA8WAaJVhLbSHhBTsXv0I&h=AT3bjz6yqWULzdi_n7LDEAe-xhKuXBAkIs2RdrWA1vt_F-FUvccybyOZZu7Zo9Vd0qqbImc4nV5o0aIlnRkgLhFR2QWBBTxY9OgEVhGoVoP6j2QI2GTNqTw4IFrE2vO1nMu0&__tn__=H-R&c[0]=AT2i0ZmlS5OyoRW5BQGVmRLZ8TuL3ZqIMTOw24_tKGvvA8cOhIuLbcmkykhHzOfZUaqgfnBt_HVk4YmvTqVWHED1lXFKpPhpy9phZAWyVU8FqJ4ao0fILUy94s73LOS9Fdtxa6cdl3dB3yRa0zKPJg9Z5rYSvJlyh5xMWTk0n2WjUvo,128,43 Comments,2.6K Shares,View previous comments
Conservative Post,She has been charged with felony obstruction of law enforcement.,Georgia Dem Arrested After Defying Police and Hammering on Gov’s Door During Protest,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZXnk9Li5mlWioQz5x40S8O-2JZrX6hiyiqTnB-7_ww4vxJhkYT249qryFG8k693NETMsv-JtNkuVJ1dh-PyRqcq65ntzsasuS3CqPWJEjxdGUgvjTMiCM8kbCkyucK1uR8XjJTBAgmVBdzXcINmyieG&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fgeorgia-dem-arrested-after-defying-police-and-hammering-on-govs-door-during-protest%2F%3Ffbclid%3DIwAR2j8mWgW95xMpu4kMN4QZn0EGuGWnyPACDRcIh3jzZAnRuIwqXpRh2Qxbc&h=AT2769wfolNvLkqyOJwS6rXh_gS7OwYjZdRciVR2O9LrqkW8gFWxxk0T4GRIWeU5piOIQfCw3eWHHU3yax2cdGTxSRC7OEBVqnKRwDrGTd3ReFI28JxNAVEMY88IVOAkft6r&__tn__=H-R&c[0]=AT2sfXilAK0ZEIjmYpDvgxdkCYc9Z1vZ7lNiM2SzmZF_zvBlbWgBR-jEnM5ECXgi3lOJtjNPcyY6238VW1CO4Muv3G05Ig29FK3OObmYWml5_zUcD_wght5pWISyRBYWbY4EfpNSxafb6uyCmHXX0MYc22qjzOZgRxwRnodHk75rYZ8,364,64 Comments,43 Shares,View previous comments
Conservative Post,Let's go Georgia!,"Georgia Governor Signs Into Law Sweeping Election Reform Measures, Including Voter Id For Absentee Ballots",https://www.facebook.com/heyconservativepost/?__cft__[0]=AZUy0kNj7sv_4IBZcxAvsZoL5w019E14T58J7w71ba5U4kBJPiofaBC6EwokCrR89F03vpO4UBg6ZLvFPResTsSJ9eaEvKo_5O0Q61aVBQSw52WHY_nbBT1lE3G-tiVegggjBC0YP0bzOPvt3oj65aJK&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fgeorgia-governor-signs-into-law-sweeping-election-reform-measures-including-voter-id-for-absentee-ballots%2F%3Ffbclid%3DIwAR3Xp_sujsedDWSMOfQsmajsH-cwa1Jkw3nBunxKyRZ-DoKuQbuB4jOZXXY&h=AT3R-iz1-DAZJrftWpNIN8ADEUxdoBdT6tH-4LN69WADCRlWuM-QEF9U6CaByjmORUlEIiXQI-WG9QHhrgho75oeJ9BEo0VfFicGLO9-I8K_20JX_dYPzrL3uQbhpUxCpyLL&__tn__=H-R&c[0]=AT3uD1TffKIOswTkws2ZxMvsVrMiNsPvB2it4YRNFxluwj3ko8oqEy0uGe5Vx27I4Dzg4Rnb2kKCf77ZcVhbCUef6mqTQMlOBOldg2t2X8ZL8zGHWJPsGy0z5q-cxaVDITRsRUS3O9Rb56H5lSdTxATBfxpdUNlLI1eLRz6PLtBUnFI,845,58 Comments,1.1K Shares,View previous comments
Conservative Post,What the heck?,Mexican Cops Report Record-Breaking Child Smuggling Busts Near Texas Border,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZU6lXILkYNbbiMxIdrATJoCnk0B2kw1Dmb0cTUJPCpPNCoWP_tFclkzH53JHJktb2LhFEhFv3kLkTmCgJ9i8GEm6W8pNEHoUe3FpLS1VTT9U1UVoh9le0wJA-9DQouAPeb-rrPAQpzAyaUY1OJnTUHT&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fmexican-cops-report-record-breaking-child-smuggling-busts-near-texas-border%2F%3Ffbclid%3DIwAR2ilTQ2g0Ns-VnNkJEu8DmXJ17ZQ5iHApVpSr0LB8acJTFH27pxVQtqQBc&h=AT02BRu7aL59V2yosiZ8XtHHHUKpmlttM0NkFhryTHaILiLESnWJpVPV0WT7__BbNnG2C70Chd-PidLxAdURS9qwY-xpZE6aU7XQRDOTbMJ5S2QSTG1_tzxYsZmBKFY1l08V&__tn__=H-R&c[0]=AT3jBANn3wnuiABe9RPfCgCdKeHjha9c4oEZh54cayBK7fcRVCfoTNP7qut0EqZn3WrUlVyC0hk_MWx_1AgCJ6ODHl7RbM5Fv1YWWTNB7_VM2IViQ_6gNz3VeKQbi6OeNbHTkJJkwih1lAjG7-WivZaEKaR2hcIJSTVG3ywJeQRgr9k,86,30 Comments,203 Shares,View previous comments
Conservative Post,LOL. Even with the softball questions.,Photos Show Biden ‘Cheat Sheets’ During First Formal Press Conference,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZXd6RinBEQEFn3V-dNWjh1OcbT4M1QQdu52Oyw3yE389LmSrDnarGez-VRt4dMaJjxpNBIyCFdvNwn34lpOToF0YE5QEYQg-zSh_BasJtA2Ks6hA-BmbY6xzQYYsiQ6QPwKohN87zClixqGbFHAqnjW&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fphotos-show-biden-cheat-sheets-during-first-formal-press-conference%2F%3Ffbclid%3DIwAR17fs56s9GaIfeQuEJKQmuJbBgHmcjlUDR7PumA8WAaJVhLbSHhBTsXv0I&h=AT0e02VtUEFPRWo8vtqPYhhnkzdPGrBPTb_SF_VAlzsbyUnjjyqnGC_Ewos6456Y7J4AdQu5NYEWuhpWn8dLtxN-MIJm2TZQuc4KBRnTbFMzCGeQZAOajthuWK-ClOjyf8JI&__tn__=H-R&c[0]=AT0hNG8Haf17iKsw-k4JCiGdt3tCBd1c6nf37D1ybYJZKuVpwdobeO6uGsrtgsHfroFfUpEWFXti6SI4YovNtfQ4ypsE83c8jVE4dKimxVPP7we5fNUlr9htETBqQlVQy1ArpvBkMRVAMwqH_jURvg1uUo_nPTam0XYeqzCNBJEZ_JY,390,67 Comments,1.3K Shares,View previous comments
Conservative Post,Report: Team Biden Weighs Declaring Gun Violence a Public Health Emergency,Report: Team Biden Weighs Declaring Gun Violence a Public Health Emergency,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZWXM-1McUXN5Lb377oeFrGlcdMoP1CaEpV68mNjOPsiGgXcpyhKsCpu-rA3rRZ-LeY4Cd3oFls7etL8SyA52LzdZsjkzn22rbFM2DorDjsopzIL7DKywcCpijxuJahgZQCzGn_JR1owoM6L39tkdk7X&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fteam-biden-weighs-declaring-gun-violence-a-public-health-emergency-2%2F%3Ffbclid%3DIwAR2Iz31-hwzthYrNQD3IUe_XBZkSHzZZne2FDVXV0lvxb78FMCA7WGrnSy4&h=AT2kOR1oBe4endLug7OvVoZFNr7QmSs99yciav2ibMB6vsqqJyPX193iRSVPboAMIR008k-d0ECZBGETfA0daS-7x3JmhlhBfxWPdPvQuDrxD0ad9kF7qlZeRyWX38_B0Ik0&__tn__=H-R&c[0]=AT1H4Fy2XrfLdSeaYj6axP3EDcwV2RL5a4UcFFcxMojI_xKpaRL5LBNFDDEdoX_VD5GKZrvxdeDAYd0wzbwCs5Gjpy0Qxtb-0NmoAuYjZ_pWToHR48AnaMT_7KOyiG8rEIKpU-_ByXgGXKauMrc1YuIdSMQa7j8VrFOr202bUvyC9fQ,150,203 Comments,350 Shares,20 Replies
Conservative Post,Biden Wants SCOTUS to Let Cops Seize Guns Without a Warrant,Biden Wants SCOTUS to Let Cops Seize Guns Without a Warrant,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZWgCjPZmD0VuYLTabT2Oq-QNaOZLuAQvJmVucOoasMEK3uMGxnodf3i668WAdxzGzqtz8c1NOP0IOEYRGo7zhbtmds_JSrSfdZh41sGyfwyMZnuaZsQBVtdowPbMOxhMIUSkutoaytoelzikttpMgrL&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Fbiden-wants-scotus-to-let-cops-seize-guns-without-a-warrant%2F%3Ffbclid%3DIwAR3dvvbOXuF_f-OJCgbzC2ykPWz4e6y0lcc2ut2Kt1oThVJ-YRVPVHHZtuM&h=AT0pyD-D4kyf8ZZl0-ZRAO1r5N_aDHNuSP7ee_qQWR6gL3W-kyE52fgw0NEP4iaT3YgMRG-jZqSEq2wq5id7X-QDHBBo97H5QDwQPP-DLt2kw5vbqDKamKJ_FC4-fCWL3tEM&__tn__=H-R&c[0]=AT2qZ1LyxJntRsoTTedg6V1LSOLLH6lWW5pmRjeg6w0rWSHvLC7GHHWFC_xaCYeY6TLNdai_u1lQiDqOPUB4PQq4KZdKnXmUPYNPlkdOBwyEr5ktZZtdC9WNiiKctjyxkC30JoRJHO_5daj4rDA2ykAPO-A7NVzaGJ6bPlOT-eav-9s,514,69 Comments,331 Shares,View previous comments
Conservative Post,The report also indicates that Hunter Biden may have lied on his firearm transaction paperwork.,Report: Secret Service Intervened in Bizarre Hunter Biden Gun Incident,https://www.facebook.com/heyconservativepost/?__cft__[0]=AZUISxi57BRAvsVXtjGEZub3valgg4F7gOWKKF8w9WSTaKd_yZjy3tLN8mKCZ4PVsrzDmQmnGQPMTcqpDrv27xiJ3axd63yBRb3loeHD9uZay5wzK8iCw4TUu0PQf1ne9Etq4ttJLx-Gdw47uRYmOSd6&__tn__=%3C%2CP-R,https://l.facebook.com/l.php?u=https%3A%2F%2Fconservativepost.com%2Freport-secret-service-intervened-in-bizarre-hunter-biden-gun-incident%2F%3Ffbclid%3DIwAR3LVtM6wpzSYPHjmhD8w94o42iG18yU32JI2f_ZXqYFcjYEphDpCFi6RUM&h=AT1kyI1lBd_S8XOBaXDiGATGkbvbWVbYCYGDoEOKO3JnZI-9mVK2EjcEfFXzKV5uQg76JZ99-Q8dLnb2xGT1UUj3aSoIp8ZJ31RhDWKAFBD-vRGVYiC5byML_3jxqzSBAmrr&__tn__=H-R&c[0]=AT2WIn5PXHl1sSNqEYd3XWNgeTZwuZKcMWzhFZNqeww2Tkpqt-2Op9MFoO2zNT8g2P1AdmNC4PjZv3vZMANwPFSX43pt-LJkVz8CV6VpOpTmn5_MEJB0xovQJ3F0HEuamkiaOHa_5rIjgjkqoNCk4FJWOWuin4U5d1liEJEyKVwMYLA,165,43 Comments,7.3K Shares,View previous comments
