,Unnamed: 0,Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies,results
1,1,CNN,"Mississippi is one of three states that have expanded coronavirus vaccine eligibility to anyone 16 and older, and a CNN analysis finds that more than a dozen more plan to open up to people 16 and older by the end of April",More states aim to offer Covid-19 vaccines to everyone 16 and older in coming weeks,https://www.facebook.com/cnn/?__cft__[0]=AZU2o7NZJzVQcSJJl1eanERyWy-9tqwl9czCGzmrGKsoUgPmKf3mSa8vovTTggH4hKzMORJPJCocyKPJeNQz3n4gOUKn4Bs1yJ_zEo54L_6Ilx84CoMtV5gkHOAq6i0Qq283J1dIQ0izoXpnB3yAJdDZ&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGWJ9SE6wTCA-NI&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322185510-covid-vaccine-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGLJ1j78dtIVt9y,574.0,98.0,31.0,1,'FAKE'
2,2,CNN,"In 2018, the city of Boulder, Colorado, passed a ban on the sale and possession of assault weapons and large-capacity magazines. Earlier this month, a state district court judge blocked the city from enforcing its ban.",Boulder banned assault weapons in 2018. A judge recently ruled that the city cannot enforce the ban.,https://www.facebook.com/cnn/?__cft__[0]=AZVNa6v982XzUctgaGWx1yGO04OtxCujIgS6oebl_1V_uNnWnhFBMkMAD-ZkoenOxteWq04VJQyRNPuPrEA9nna6uvS_0MY_G86k8sB1uuouOVIlq9AL6NcRK4O8FviNmYpMcnp_Y7VRiFnVrYLjUFXE&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQH8YP-BfzwaXGc2&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323121140-03-boulder-shooting-0323-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGSWb8ol1uGpyjA,1100.0,1200.0,119.0,112,'FAKE'
3,3,CNN,"""The life of a single parent is challenging to begin with, but when you add in a pandemic, it's like someone dropping a chainsaw into the mix when you're already trying to juggle bowling pins,"" writes Kaylah Dessausure for CNN Opinion",Opinion: My Covid life as a single mom: Like juggling bowling pins and chainsaws,https://www.facebook.com/cnn/?__cft__[0]=AZWhOKiDpWdmH8JR2uAHLtav7q3fB9z2wUIpWSBHy3cRourvnKEX0tqFfHJgt1ai2eQbfS90WE1JbYEg5LHYRnT4vWpT6cd0pfwGi3YbEdWXtJUlL9X9hiaoGmDkWYjo9PXE07dZbWqjAbACc__GoFy2&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGdBpB_fk0Os1uq&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322212826-kaylah-dessausure-op-ed-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQF-izCoLR65DzRr,554.0,202.0,37.0,9,'FAKE'
4,4,CNN,"British people attempting to go on vacation while travel restrictions are still in place could face a $7,000 fine under new government legislation.","New UK law means $7,000 fines for vacations abroad",https://www.facebook.com/cnn/?__cft__[0]=AZXIuomKH8Thu3fanZK3UrBp1ph6w186iLp-3VZnv85XqtrJ5ij62f-RMCm-VUUM83CrIsSdv4aLYq9yQ2R5M3SBGIEJQyR8X9kPelIDCR1lS0MZT-WZC4MlknALAx8dPcYrAWFh_KsOtdQncG2Gi1bf&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQE8cuYVpcgby8tN&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200514221928-mallorca-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEbgRLIdH8hkXPs,912.0,390.0,83.0,0,'FAKE'
5,5,CNN,"Former first lady Michelle Obama and a host of celebrities, including Tom Hanks, Tracee Ellis Ross and Kerry Washington, are calling on Americans to encourage their senators to support a sweeping voting rights package that would thwart efforts by Republican state lawmakers to curb access to the ballot box.",Celebrities join Michelle Obama in urging Americans to support sweeping voting rights bill,https://www.facebook.com/cnn/?__cft__[0]=AZUW_UIC_qW-YSq1NHwqPiPM0DQbR8ZKibgxr2AZL8ZkuF30YOyobWOHlpLwKp4a8gzieEyQpDo3kBQavz-7FJCXUb2_yRBubSEdy2AjDOFwQ7_SOIt3A5CTWjL1Cts9KytN8Mk5tEZKK9QopU0hORrR&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHuOCq3IaeRI9f1&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200807144618-michelle-obama-file-super-tease.jpg&cfs=1&sx=0&sy=15&sw=1100&sh=574&ext=jpg&ccb=3-4&_nc_hash=AQEctSDQA57tgOCj,3600.0,1200.0,102.0,37,'FAKE'
6,6,CNN,"Rep. Madison Cawthorn, a North Carolina Republican who has a history of egregious false claims, posted another one Sunday on Twitter",Fact check: Madison Cawthorn falsely claimed there are 'zero dollars' spent on homeless veterans. It's actually more than $2 billion this year,https://www.facebook.com/cnn/?__cft__[0]=AZWQniAz_wIuC68-vPTdmFuFeNRsylomI9KXblo77BxxVtfeq7x2IGO743jI8Lnvi9MyBXXMMBfaAsOazYfFH1mP2C1dXAHOXIeQxtlY51V5HMZaJzIBhlrJUYLtws12TMqQ8HjCUgCKlSDhfn_SSgAv&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHjYzEArgG4buCg&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210301164528-rep-madison-cawthorn-210226-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHrC2PDPqA3XwVs,2200.0,1400.0,392.0,38,'FAKE'
11,11,CNN,"Sandy Phillips, who lost her daughter in the Aurora theater shooting nine years ago, knows all too well what the coming weeks will look like for those who lost a loved one in the Atlanta and Boulder shootings — and she started a support network that can help","After another mass shooting in America, these survivors stand ready to help the victims' families",https://www.facebook.com/cnn/?__cft__[0]=AZUyq79urkkSn-pKUYENVIdjHN1vvRYpRsgsDHO0jeeDjEdyfR55qahc8Yokudveji7-aTSyTdnS5Sj04KmxcC9W7o5nnquhZw4BSdWM_C8PqxBRWRI7h2MEG1rcXvp8O0dgfCIfi4N5IUzan-QZuUoT&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQECoZzdk_xGRCvl&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322204514-11b-boulder-reported-shooting-0322-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGOLjjkpvrF3Se-,907.0,716.0,63.0,12,'FAKE'
12,12,CNN,"People have been flocking to see a volcanic eruption near Reykjavík, Iceland. Some have even been roasting hot dogs on the lava. https://cnn.it/2QpcKnE",,https://www.facebook.com/cnn/?__cft__[0]=AZVmfthJhOqbjT91eXeJUTxRFAXmXxNYtzIiIhlZPpNmj0CrGqDlC1-atdZDwfdtkj8IKPLu8eD4EVY66iunCP36vRNDh9dt58mlUH7wC8gQInoqI5TSXux5VBExlBwFGUTJHWAvkuCf8ZfDYlPKdGYs44TGXPHM5eiCduuSIil3Vg&__tn__=-UC%2CP-R,,252.0,91.0,162.0,2,'FAKE'
13,13,CNN,The Biden administration has reversed a controversial Trump-era policy that will lead to the cancellation of roughly $1 billion in student debt for borrowers who were defrauded by their colleges,Biden will cancel $1 billion in student debt for defrauded borrowers,https://www.facebook.com/cnn/?__cft__[0]=AZWEL9-hIrt6xe8mSqEv4f3G8E1G2pvjjq5NHWTwPqQ3nTuV_zULMTKTf6REeZqUtYQ3wTpOz9FZDJp0z98qKWYgjneryaB59_zprkjJIdYmEiEjFF20havkUI07aBb1tulpJJguSPx5wpOaIq6-KvpN&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHB_LJjjQ3x6Vqb&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210303113702-01-miguel-cardona-0203-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGCAu9b7Q8AdNuE,5700.0,996.0,262.0,53,'FAKE'
14,14,CNN,"""She was so energetic and charismatic and she was a shining light in this dark world,"" Rikki Olds' uncle said",A young grocery store manager and a heroic officer were among the 10 Boulder shooting victims,https://www.facebook.com/cnn/?__cft__[0]=AZV7ttXIMMqgLXBvhJKGBQu_LEUQhWen1tQNyNZFAyAxUXJaSruJubDw1gTTN8fZfgJob8gheyztXCt_Zu_EvWcc9eLc1ITzycy-uuRAnsjcDZxh3Z_kaC2vP6iXqDtXqb6ER1WQqtSWK0107H29VVPt&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHNCZzliH_iPrij&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323111908-rikki-olds-boulder-shooting-victim-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGd7XLtiy9Byx5k,6100.0,1100.0,285.0,6,'FAKE'
