,Unnamed: 0,Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies,results
0,0,CNN,Po Murray writes that the two mass killings in the past week have demonstrated forcefully that Democrats have to force gun control legislation through the Senate in spite of the filibuster (via CNN Opinion),Opinion: What has to happen after the Colorado killings,https://www.facebook.com/cnn/?__cft__[0]=AZVAVlq3rIdmQM1w4Jr6qxBE9Be_jIZV4xQ5OMaQMTi5-n7Zb3mMjyob_0QaZ6yUo_OV3gpfJGw_6OMjWFeu0T4sFha4cMFB-JLO_MumTSM-aY97ltPDCh21PythBtawxEL_Yf_SCG8XpMFV1HlNLLXG&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQECoZzdk_xGRCvl&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322204514-11b-boulder-reported-shooting-0322-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGOLjjkpvrF3Se-,102.0,98.0,6.0,1,'REAL'
7,7,CNN,Police identified the 10 victims of the Boulder mass shooting.,,https://www.facebook.com/cnn/?__cft__[0]=AZVimpLddRij1lUsam39hChH-Php1D2Mrl4Ly1Poiv-gPNSZAM050Dpn1fxTPqgLfT4qhACJj0H7-w7GiQWoiYYSJqZq7YimvlaiYhtWQ5ZyiucYiZELRIb614DwGCtSehsRpL-UgltP932sci-40igFr4MLmuEr-fOU5T1s5Ql-tA&__tn__=-UC%2CP-R,,1100.0,1000.0,183.0,72,'REAL'
8,8,CNN,Republicans at the state level have moved swiftly to either roll back some easy access to voting or put new obstacles in the way of voters. Here's what to know about the battle over voting rights happening right now. | Analysis by Zachary B. Wolf,Analysis: At least 45 states have seen bills aimed at voter suppression. Here's why,https://www.facebook.com/cnn/?__cft__[0]=AZVwYCqQLC523GZdLIgiUSepoDfKOR1vm9ZaYJPw2Kut4LcH-4zj_g0NS_XUVNpgHoLd04xav6CBvkbeIlVVqxJ8X23lcW7iZwMxPzILCJnEw7WI_sjVy6VLfvxWJa7-_sRjePbhoCCqzD5hMvEzkODh&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGrOssndWolm7CS&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210311172423-01-arizona-voting-election-day-2020-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFLc65AzucIXRGf,726.0,755.0,60.0,31,'REAL'
9,9,CNN,"President Biden used the latest mass shooting to offer his most vocal push for gun control since taking office, saying the deaths of 10 people at a grocery store in Colorado Monday afternoon should jolt Washington and the nation into action. He pushed a pair of House-passed gun reforms, including a universal background checks measure and an assault weapons ban.",,https://www.facebook.com/cnn/?__cft__[0]=AZWAoG4J5d6eqiiFmHVkUTWgwY7kOlI3wQPsq-NxH4ZEQcfKTv6D_vXK2qAyhYMYb18RaMG-N8qYFJqomr6KSlun92Y2Jj4ansMdohMTVHc8GA4Ds4QlLO-Enfo7j6PcMMLbu1BnK79gJ3l7afLmE97eOUsmsGZt2mhEfIrOShfb-g&__tn__=-UC%2CP-R,,3300.0,2400.0,271.0,119,'REAL'
10,10,CNN,"Former President Barack Obama called for stricter gun laws following the mass shooting in Colorado, bemoaning what he called a national tolerance for ""these kinds of random, senseless acts.""","Obama calls for stricter gun laws following Colorado shooting to prevent more 'random, senseless acts' of gun violence",https://www.facebook.com/cnn/?__cft__[0]=AZUBdMyQ0p90HT5gRemHFuyoK143IKzfntvVJuQJy0tAyHBayfEfEpKl_VM-LymCFz_msgeIaUZ3N6yDrnK8w1RDTKmUr-t6o-Wp6Fob19OpV1fcVUMirEpvv5qa3LoO8yL7d_OWmV_uIHVuaCez1Kfw&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQF-KvhVcMjQhd1j&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200126175745-barack-obama-102618-file-super-tease.jpg&cfs=1&sx=0&sy=15&sw=1100&sh=574&ext=jpg&ccb=3-4&_nc_hash=AQE0iYIPuQOQvx3A,6000.0,3200.0,247.0,131,'REAL'
15,15,CNN,"President Joe Biden, after acknowledging there were still outstanding details to be learned about Monday's massacre, insisted that enough was known to make an ardent call for new gun control",Biden pushes House-passed gun reforms in the wake of Colorado mass shooting,https://www.facebook.com/cnn/?__cft__[0]=AZWeLDG4GWRhS-nYkxGaig3XffBjqOXrBIDG3EunhHOrozzrSO_gThn1g2y_rhP3lPJfcvcwO1bWvocKY9fBRWaJFQaE5lNW9_rXDr2sWwi3t9fdqhClIFa8_mvDQLJHyiw3jI4vSkoloQ0vQWFGm27M&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHWuef9sVnnvTfg&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323130042-02-biden-boulder-shooting-remarkes-0323-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHJz9BAVk-ibNgX,9300.0,3600.0,330.0,45,'REAL'
16,16,CNN,"“The whole reason that we even embarked on a vaccination program for Covid-19 was that Covid-19 could cause serious disease, hospitalization and death... All of the vaccines that we have seen tested do that extremely well — much better than any of us expected,” says Dr. Amesh Adalja, a senior scholar at the Johns Hopkins Center for Health Security","All the Covid-19 vaccines prevent death and severe disease, and that's what matters, experts say",https://www.facebook.com/cnn/?__cft__[0]=AZU-fP4Ukwl64BFKo9FFyuTu4FoafvgudO_IcKHJM1g_DQxI2l4kQUu5rBCKt3L8sGRlWsvGImtkdGZVAcAoNDOHBX8jq8W6ccM8AkPuoiufGH7uXR7imhOILCjA45keeKI69ZXBBOD533EBJ8Q_iW3h&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQEeePfyRJiyo4Sd&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322041617-astrazeneca-vaccine-0320-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGUH286C9MGgdAC,1700.0,735.0,188.0,39,'REAL'
17,17,CNN,Ahmad Al Aliwi Alissa was identified by authorities as the suspect in Monday’s massacre at the King Soopers supermarket in Colorado. The 21-year-old is in custody and has been charged with 10 counts of first-degree murder.,"Here's what we know about the Boulder, Colorado, mass shooting suspect",https://www.facebook.com/cnn/?__cft__[0]=AZWVB_VPuuusHs916Te_De8qWONzH4yRn0TN8-yAT87WcEjBjiT7tuUbow4IPWWIXb3mOxG5vwMt48UTU13hcFoOSf5Q_6lWL7I_Cak3ZmDYa0ixhrBzS-LN91GpvPHQIFDsSPGi3ZJtFDor1P03pCC0&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQF_td5acDGLk0sD&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323114942-ahmad-al-aliwi-alissa-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEgkPIsSRWfB6k8,14000.0,14000.0,2200.0,"2,246",'REAL'
19,19,CNN,"Fully vaccinated people should feel free to visit their unvaccinated family and friends without restrictions, but visits should be limited to one unvaccinated household at a time, Centers for Disease Control and Prevention officials said Monday","Fully vaccinated people can visit unvaccinated family and friends, but one household at a time, CDC official says",https://www.facebook.com/cnn/?__cft__[0]=AZVXmR6KHEMloHVermpxNbYPYWsCPmo7ksAmCHyVz4TaiwGHEqeIvABQPx0i581Esf3nPKc29c6rneTmmWf4vRj-Z1FK6EqexDtBXQPLO0VmlTIFn9w5-RoOvLOu6DZwOkEsV-RA0IWE5Am5xNCGEj3g&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHFd3zUwjYfeCqH&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210108153939-03-grandparents-visits-covid-19-vaccine-wellnesss-stock-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFw6pebUpjDV-nO,2700.0,915.0,199.0,75,'REAL'
23,23,CNN,Travel-starved Americans emerging from lockdown may need to budget for $3-a-gallon gasoline on their next road trip,"Here comes $3 gas, just as Americans start traveling again",https://www.facebook.com/cnn/?__cft__[0]=AZWKBo8fcEcucS18tp14YU_uKxTxzNyf_9LHuCulPKoaBZLrmM_EzmNxUPOBcmqNrFlM-sYUjMfMo-l5gEqbYBSeSQVTADAmcO9JjsJcmtNHkcSTr2CQ4d20ZZ17d8lZO_AR79q5e4OJOI0lDRTQYAXx&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGZreemNBQ48soP&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322141005-usa-gas-prices-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQG-3ADi0dQMhLtG,5900.0,3800.0,323.0,145,'REAL'
