Title,Article,Headline,Title_URL,Image,Facebook_likes,Facebook_comments,Facebook_shares,Comment_replies
CNN,Po Murray writes that the two mass killings in the past week have demonstrated forcefully that Democrats have to force gun control legislation through the Senate in spite of the filibuster (via CNN Opinion),Opinion: What has to happen after the Colorado killings,https://www.facebook.com/cnn/?__cft__[0]=AZVAVlq3rIdmQM1w4Jr6qxBE9Be_jIZV4xQ5OMaQMTi5-n7Zb3mMjyob_0QaZ6yUo_OV3gpfJGw_6OMjWFeu0T4sFha4cMFB-JLO_MumTSM-aY97ltPDCh21PythBtawxEL_Yf_SCG8XpMFV1HlNLLXG&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQECoZzdk_xGRCvl&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322204514-11b-boulder-reported-shooting-0322-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGOLjjkpvrF3Se-,102,98 Comments,6 Shares,1 Reply
CNN,"Mississippi is one of three states that have expanded coronavirus vaccine eligibility to anyone 16 and older, and a CNN analysis finds that more than a dozen more plan to open up to people 16 and older by the end of April",More states aim to offer Covid-19 vaccines to everyone 16 and older in coming weeks,https://www.facebook.com/cnn/?__cft__[0]=AZU2o7NZJzVQcSJJl1eanERyWy-9tqwl9czCGzmrGKsoUgPmKf3mSa8vovTTggH4hKzMORJPJCocyKPJeNQz3n4gOUKn4Bs1yJ_zEo54L_6Ilx84CoMtV5gkHOAq6i0Qq283J1dIQ0izoXpnB3yAJdDZ&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGWJ9SE6wTCA-NI&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322185510-covid-vaccine-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGLJ1j78dtIVt9y,574,98 Comments,31 Shares,1 Reply
CNN,"In 2018, the city of Boulder, Colorado, passed a ban on the sale and possession of assault weapons and large-capacity magazines. Earlier this month, a state district court judge blocked the city from enforcing its ban.",Boulder banned assault weapons in 2018. A judge recently ruled that the city cannot enforce the ban.,https://www.facebook.com/cnn/?__cft__[0]=AZVNa6v982XzUctgaGWx1yGO04OtxCujIgS6oebl_1V_uNnWnhFBMkMAD-ZkoenOxteWq04VJQyRNPuPrEA9nna6uvS_0MY_G86k8sB1uuouOVIlq9AL6NcRK4O8FviNmYpMcnp_Y7VRiFnVrYLjUFXE&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQH8YP-BfzwaXGc2&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210323121140-03-boulder-shooting-0323-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGSWb8ol1uGpyjA,1.1K,1.2K Comments,119 Shares,112 Replies
CNN,"""The life of a single parent is challenging to begin with, but when you add in a pandemic, it's like someone dropping a chainsaw into the mix when you're already trying to juggle bowling pins,"" writes Kaylah Dessausure for CNN Opinion",Opinion: My Covid life as a single mom: Like juggling bowling pins and chainsaws,https://www.facebook.com/cnn/?__cft__[0]=AZWhOKiDpWdmH8JR2uAHLtav7q3fB9z2wUIpWSBHy3cRourvnKEX0tqFfHJgt1ai2eQbfS90WE1JbYEg5LHYRnT4vWpT6cd0pfwGi3YbEdWXtJUlL9X9hiaoGmDkWYjo9PXE07dZbWqjAbACc__GoFy2&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGdBpB_fk0Os1uq&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210322212826-kaylah-dessausure-op-ed-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQF-izCoLR65DzRr,554,202 Comments,37 Shares,9 Replies
CNN,"British people attempting to go on vacation while travel restrictions are still in place could face a $7,000 fine under new government legislation.","New UK law means $7,000 fines for vacations abroad",https://www.facebook.com/cnn/?__cft__[0]=AZXIuomKH8Thu3fanZK3UrBp1ph6w186iLp-3VZnv85XqtrJ5ij62f-RMCm-VUUM83CrIsSdv4aLYq9yQ2R5M3SBGIEJQyR8X9kPelIDCR1lS0MZT-WZC4MlknALAx8dPcYrAWFh_KsOtdQncG2Gi1bf&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQE8cuYVpcgby8tN&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200514221928-mallorca-file-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQEbgRLIdH8hkXPs,912,390 Comments,83 Shares,View more comments
CNN,"Former first lady Michelle Obama and a host of celebrities, including Tom Hanks, Tracee Ellis Ross and Kerry Washington, are calling on Americans to encourage their senators to support a sweeping voting rights package that would thwart efforts by Republican state lawmakers to curb access to the ballot box.",Celebrities join Michelle Obama in urging Americans to support sweeping voting rights bill,https://www.facebook.com/cnn/?__cft__[0]=AZUW_UIC_qW-YSq1NHwqPiPM0DQbR8ZKibgxr2AZL8ZkuF30YOyobWOHlpLwKp4a8gzieEyQpDo3kBQavz-7FJCXUb2_yRBubSEdy2AjDOFwQ7_SOIt3A5CTWjL1Cts9KytN8Mk5tEZKK9QopU0hORrR&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHuOCq3IaeRI9f1&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F200807144618-michelle-obama-file-super-tease.jpg&cfs=1&sx=0&sy=15&sw=1100&sh=574&ext=jpg&ccb=3-4&_nc_hash=AQEctSDQA57tgOCj,3.6K,1.2K Comments,102 Shares,37 Replies
CNN,"Rep. Madison Cawthorn, a North Carolina Republican who has a history of egregious false claims, posted another one Sunday on Twitter",Fact check: Madison Cawthorn falsely claimed there are 'zero dollars' spent on homeless veterans. It's actually more than $2 billion this year,https://www.facebook.com/cnn/?__cft__[0]=AZWQniAz_wIuC68-vPTdmFuFeNRsylomI9KXblo77BxxVtfeq7x2IGO743jI8Lnvi9MyBXXMMBfaAsOazYfFH1mP2C1dXAHOXIeQxtlY51V5HMZaJzIBhlrJUYLtws12TMqQ8HjCUgCKlSDhfn_SSgAv&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQHjYzEArgG4buCg&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210301164528-rep-madison-cawthorn-210226-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQHrC2PDPqA3XwVs,2.2K,1.4K Comments,392 Shares,38 Replies
CNN,Police identified the 10 victims of the Boulder mass shooting.,,https://www.facebook.com/cnn/?__cft__[0]=AZVimpLddRij1lUsam39hChH-Php1D2Mrl4Ly1Poiv-gPNSZAM050Dpn1fxTPqgLfT4qhACJj0H7-w7GiQWoiYYSJqZq7YimvlaiYhtWQ5ZyiucYiZELRIb614DwGCtSehsRpL-UgltP932sci-40igFr4MLmuEr-fOU5T1s5Ql-tA&__tn__=-UC%2CP-R,,1.1K,1K Comments,183 Shares,72 Replies
CNN,Republicans at the state level have moved swiftly to either roll back some easy access to voting or put new obstacles in the way of voters. Here's what to know about the battle over voting rights happening right now. | Analysis by Zachary B. Wolf,Analysis: At least 45 states have seen bills aimed at voter suppression. Here's why,https://www.facebook.com/cnn/?__cft__[0]=AZVwYCqQLC523GZdLIgiUSepoDfKOR1vm9ZaYJPw2Kut4LcH-4zj_g0NS_XUVNpgHoLd04xav6CBvkbeIlVVqxJ8X23lcW7iZwMxPzILCJnEw7WI_sjVy6VLfvxWJa7-_sRjePbhoCCqzD5hMvEzkODh&__tn__=-UC%2CP-R,https://external-sjc3-1.xx.fbcdn.net/safe_image.php?d=AQGrOssndWolm7CS&w=500&h=261&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F210311172423-01-arizona-voting-election-day-2020-super-tease.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQFLc65AzucIXRGf,726,755 Comments,60 Shares,31 Replies
CNN,"President Biden used the latest mass shooting to offer his most vocal push for gun control since taking office, saying the deaths of 10 people at a grocery store in Colorado Monday afternoon should jolt Washington and the nation into action. He pushed a pair of House-passed gun reforms, including a universal background checks measure and an assault weapons ban.",,https://www.facebook.com/cnn/?__cft__[0]=AZWAoG4J5d6eqiiFmHVkUTWgwY7kOlI3wQPsq-NxH4ZEQcfKTv6D_vXK2qAyhYMYb18RaMG-N8qYFJqomr6KSlun92Y2Jj4ansMdohMTVHc8GA4Ds4QlLO-Enfo7j6PcMMLbu1BnK79gJ3l7afLmE97eOUsmsGZt2mhEfIrOShfb-g&__tn__=-UC%2CP-R,,3.3K,2.4K Comments,271 Shares,119 Replies
